,mês,Renda Bruta,Gastos Fíxos,Renda disponível,Desconto %,Gastos Totais,Lucro
0,25 7 Julho,1435.74,655.67,780.07,54.33,1499.29,29.57
1,25 8 Agosto,1210.62,552.11,658.51,54.39,1349.06,11.5
